Wall time,Step,Value
1558905312.3187985,0,0.045674879103899
1558905563.303751,1,1.1056662287955987e-06
1558905812.9465797,2,3.7819147564732702e-06
1558906063.7133648,3,1.1667609669530066e-06
1558906314.4271288,4,1.2904405366498395e-06
1558906558.4275782,5,1.519918441772461e-06
1558906811.6862545,6,4.17232506322307e-08
1558907062.8040652,7,1.8030405612989853e-07
1558907314.2453392,8,1.4156103134155273e-07
1558907566.3020127,9,3.3080578987210174e-07
1558907816.849604,10,7.00354618743404e-08
1558908067.1996105,11,9.089708186138523e-08
1558908315.7211876,12,2.9802322831784522e-09
1558908566.416871,13,1.2814999195143173e-07
1558908811.9661903,14,6.556511067401516e-08
1558909054.5832841,15,-1.4454126073815132e-07
1558909305.169821,16,4.470348535789981e-09
1558909557.501525,17,1.206994113545079e-07
1558909804.987744,18,-2.9802322387695312e-08
1558910054.9860022,19,1.4752150434560463e-07
