Wall time,Step,Value
1558898452.75896,0,0.05462716892361641
1558898699.311565,1,3.46451997756958e-06
1558898947.628389,2,1.214444637298584e-06
1558899196.0020504,3,6.958842391213693e-07
1558899439.4059026,4,1.151859805759159e-06
1558899688.8319666,5,3.5136938549840124e-06
1558899930.2977362,6,1.728534755329747e-07
1558900178.3935375,7,2.250075397114415e-07
1558900427.6618474,8,3.6656857105299423e-07
1558900674.9966912,9,1.564621925354004e-07
1558900923.5503726,10,2.846121844868321e-07
1558901171.37886,11,7.748604247126423e-08
1558901420.313725,12,-4.023313593393141e-08
1558901670.275031,13,6.258488127741657e-08
1558901918.5077515,14,2.3841858265427618e-08
1558902162.714417,15,-1.1324882365215672e-07
1558902404.350558,16,1.7732382673329994e-07
1558902649.3263412,17,1.7881393432617188e-07
1558902899.2285478,18,5.811453007709133e-08
1558903148.9022937,19,1.4901161415892261e-09
