Wall time,Step,Value
1558917824.728673,0,0.0
1558918146.3174946,1,1.3271671533584595
1558918467.7766953,2,1.410655659128679e-05
1558918789.691591,3,6.578117336175637e-06
1558919111.2829664,4,9.433925697521772e-06
1558919433.1477473,5,2.0363926523714326e-05
1558919754.4701555,6,3.0860305741953198e-06
1558920076.4176095,7,1.5719235307187773e-05
1558920398.01484,8,1.189112663269043e-05
1558920719.163336,9,2.2009014628565637e-06
1558921040.868296,10,8.663535481900908e-06
1558921361.6882038,11,5.105137915961677e-06
1558921683.5208828,12,1.3519823369279038e-05
1558922005.4814937,13,1.0754168215498794e-05
1558922326.7770674,14,7.498264494643081e-06
1558922648.041567,15,1.2904405366498395e-06
1558922969.1208577,16,0.0001620992989046499
1558923290.8115675,17,4.08664345741272e-05
1558923611.9548395,18,4.179775714874268e-06
1558923933.3287072,19,1.4424324490391882e-06
