Wall time,Step,Value
1558898452.759235,0,0.5902308225631714
1558898699.3116786,1,0.3044593930244446
1558898947.628503,2,0.2828099727630615
1558899196.0022686,3,0.29342180490493774
1558899439.406159,4,0.27556365728378296
1558899688.832238,5,0.26844361424446106
1558899930.297852,6,0.27246156334877014
1558900178.3938267,7,0.2572416067123413
1558900427.6620848,8,0.2576477825641632
1558900674.9969456,9,0.23749679327011108
1558900923.5505576,10,0.25520214438438416
1558901171.3791347,11,0.25770068168640137
1558901420.3139143,12,0.22489424049854279
1558901670.275146,13,0.2257528007030487
1558901918.5079396,14,0.23597171902656555
1558902162.714661,15,0.2245100736618042
1558902404.350673,16,0.22675399482250214
1558902649.3264544,17,0.2270272821187973
1558902899.2286608,18,0.21561352908611298
1558903148.9024067,19,0.21778981387615204
