Wall time,Step,Value
1558912241.5351384,0,0.5852799415588379
1558912495.0160818,1,0.2996719777584076
1558912748.174251,2,0.292604923248291
1558913002.4388769,3,0.297776460647583
1558913255.0303288,4,0.291056752204895
1558913507.9369884,5,0.2628462314605713
1558913753.3839643,6,0.26005828380584717
1558913998.55718,7,0.24622885882854462
1558914252.0828428,8,0.2370603084564209
1558914506.4999413,9,0.2459031045436859
1558914760.507807,10,0.2555776536464691
1558915014.3751323,11,0.25653013586997986
1558915267.8878646,12,0.24867843091487885
1558915518.5120108,13,0.21440987288951874
1558915771.4285712,14,0.24425439536571503
1558916017.2336116,15,0.23975160717964172
1558916263.0021944,16,0.23093156516551971
1558916512.2962356,17,0.23450344800949097
1558916765.2241638,18,0.23354113101959229
1558917019.0176666,19,0.23390714824199677
